,600755.SH,600309.SH,600031.SH,600886.SH,000768.SZ,002594.SZ,000651.SZ,600138.SH,600177.SH,600276.SH,600519.SH,002714.SZ,600036.SH,601318.SH,000002.SZ,601138.SH,600111.SH,300413.SZ,002093.SZ
1134,7.55,44.2,13.83,9.9,15.6,49.54,54.17,12.52,6.21,75.8,1109.0,78.32,34.75,87.68,26.52,14.4,11.7,41.62,9.2
1135,7.75,43.68,13.56,9.85,15.7,49.81,55.35,12.7,6.18,77.12,1100.11,80.72,34.5,86.9,26.55,14.08,11.45,41.48,9.1
1136,7.68,45.2,13.46,9.75,15.87,49.1,55.32,12.55,6.19,76.94,1113.1,80.31,33.93,86.7,25.97,14.37,11.39,41.98,9.04
1137,7.61,44.71,13.47,9.69,16.07,49.45,54.78,12.38,6.18,80.05,1142.0,80.4,34.28,87.32,25.8,14.21,11.62,43.69,8.82
1138,7.48,44.9,13.73,9.79,17.41,49.72,55.5,12.83,6.27,79.61,1138.76,80.27,34.34,88.5,25.89,14.52,11.64,47.0,9.02
1139,7.62,44.7,13.59,9.85,17.72,49.49,57.47,12.74,6.27,78.5,1140.0,81.0,34.15,88.25,25.7,15.01,11.65,47.05,9.22
1140,7.67,45.58,13.85,9.47,17.57,49.37,57.8,12.9,6.35,78.28,1125.01,80.16,34.89,88.3,26.7,15.13,11.68,47.91,9.3
1141,7.78,46.97,14.6,9.36,17.67,50.14,59.85,12.84,6.41,78.48,1144.0,82.39,35.52,89.23,26.7,15.2,11.82,50.27,9.36
1142,7.83,46.7,14.75,9.34,17.7,50.49,58.87,12.87,6.44,80.11,1142.49,76.02,35.89,90.7,26.89,15.31,11.67,48.79,9.48
1143,7.82,47.2,14.87,9.35,17.85,51.58,58.8,13.16,6.49,79.25,1136.52,72.98,35.5,90.4,27.07,15.36,11.9,48.91,9.93
1144,7.91,47.2,14.67,9.33,17.52,51.15,59.34,13.12,6.5,80.57,1123.85,73.0,35.0,89.44,27.24,15.1,11.93,48.6,9.85
1145,7.87,46.5,14.6,9.3,17.56,51.11,59.4,12.94,6.46,78.09,1069.52,69.8,35.05,89.56,26.91,15.21,11.94,48.3,9.64
1146,7.86,46.89,14.75,9.26,17.41,50.79,58.7,13.06,6.48,78.6,1099.0,70.3,35.29,92.34,27.78,15.31,11.84,48.33,9.72
1147,7.89,47.27,14.58,9.27,17.47,51.16,59.61,12.95,6.44,79.76,1099.0,72.0,35.0,91.35,27.21,14.88,11.79,47.6,9.8
1148,7.84,46.49,14.32,9.04,16.84,49.97,58.93,12.55,6.35,79.03,1094.01,72.3,34.79,89.52,26.82,14.17,11.53,46.53,9.51
1149,7.65,46.2,14.4,9.24,16.84,50.04,57.6,12.64,6.43,79.81,1148.9,72.08,34.8,90.0,26.94,14.36,11.47,46.64,9.45
1150,7.67,45.96,14.44,9.17,16.99,50.19,58.22,13.42,6.48,80.14,1145.0,74.98,34.51,89.6,26.73,14.49,11.56,47.3,9.64
1151,7.68,45.17,14.82,9.48,16.73,50.07,58.49,13.47,6.49,81.5,1157.42,74.97,34.51,89.85,26.8,14.49,11.68,47.22,9.63
1152,7.65,44.95,14.44,9.29,16.57,49.18,58.04,13.25,6.47,81.1,1149.0,72.46,34.04,88.91,26.15,14.21,11.37,47.53,9.59
1153,7.47,44.71,14.34,9.42,16.52,49.87,57.71,13.0,6.49,82.5,1184.0,69.49,34.08,88.95,26.13,15.59,11.29,48.5,9.8
1154,7.45,44.68,14.4,9.28,16.24,49.04,58.16,12.73,6.44,82.83,1174.0,69.6,34.35,88.78,26.02,15.34,11.15,47.52,9.31
1155,7.41,44.23,14.39,9.27,15.71,48.49,57.82,12.33,6.46,81.31,1167.0,62.64,35.22,88.35,26.22,15.03,10.73,46.59,8.93
1156,7.38,44.17,14.41,8.98,15.72,48.58,57.62,12.37,6.41,81.05,1174.75,68.0,35.2,88.3,26.0,15.07,10.75,46.53,8.98
1157,7.37,44.15,14.28,9.01,15.55,48.78,56.9,12.09,6.41,80.68,1150.0,70.5,34.75,87.04,25.9,14.4,10.87,45.76,8.81
1158,7.34,44.45,14.55,9.31,15.32,48.42,57.3,11.76,6.4,80.35,1167.1,75.15,34.81,88.0,26.36,14.6,10.93,26.4,8.84
1159,7.36,43.59,14.39,9.03,15.44,48.09,58.15,11.89,6.44,78.69,1146.81,76.0,35.18,88.18,26.8,14.23,11.03,26.46,8.89
1160,7.41,44.24,14.42,9.01,15.49,49.0,57.02,11.89,6.48,83.0,1155.0,82.01,35.11,88.5,26.62,14.64,10.96,26.92,8.96
1161,7.47,44.78,14.75,9.06,15.37,48.43,57.71,11.85,6.54,83.39,1174.6,82.3,36.29,89.9,26.81,14.82,10.92,26.54,8.98
1162,7.48,45.12,14.77,9.05,15.6,48.85,58.57,12.15,6.58,83.56,1180.0,83.15,36.83,90.45,27.12,15.2,10.93,26.3,9.11
1163,7.66,43.94,15.01,8.85,15.31,48.0,58.7,12.08,6.56,85.25,1211.0,83.79,36.64,90.2,26.77,14.91,10.7,26.21,8.85
1164,7.62,44.07,14.87,8.82,15.23,47.52,58.9,12.08,6.52,85.97,1170.0,82.35,36.81,90.58,27.07,14.77,10.44,25.71,8.74
1165,7.64,43.45,14.79,8.74,15.2,47.52,59.02,12.12,6.49,85.8,1183.33,83.05,37.0,91.72,27.35,15.21,10.42,26.91,8.82
1166,7.55,43.25,14.41,8.67,14.95,46.9,58.25,11.64,6.37,84.27,1175.79,87.3,36.18,89.75,26.96,15.23,10.17,26.97,8.61
1167,7.38,43.7,14.46,8.85,15.17,46.57,57.8,11.77,6.45,82.61,1168.5,88.27,36.22,90.07,27.64,15.28,10.22,26.7,8.55
1168,7.34,43.79,14.5,8.72,15.17,46.8,58.44,11.94,6.46,83.69,1170.8,89.8,36.13,90.29,27.36,15.81,10.24,27.37,8.73
1169,7.37,43.9,14.27,8.57,15.09,46.6,58.81,11.78,6.56,82.78,1158.91,89.39,36.0,89.5,26.78,16.11,10.11,27.27,8.63
1170,7.33,43.12,14.01,8.53,15.1,46.66,58.73,11.75,6.54,82.71,1150.27,90.66,36.5,89.8,26.66,16.19,10.07,27.36,8.6
1171,7.31,44.71,14.07,8.57,15.28,47.04,58.18,11.8,6.55,87.54,1171.35,99.73,36.4,88.0,26.97,15.88,10.1,27.98,8.73
1172,7.35,44.82,13.94,8.57,15.45,47.3,57.15,11.94,6.52,91.08,1178.29,99.78,36.2,88.64,26.88,16.01,10.31,28.54,9.35
1173,7.5,44.88,13.86,8.45,15.11,47.15,56.9,11.8,6.49,90.76,1193.0,101.03,36.15,88.2,26.67,15.7,10.16,27.86,8.87
1174,7.38,45.08,13.91,8.61,14.9,43.96,59.39,12.05,6.47,90.18,1183.8,100.18,35.41,87.95,26.65,15.77,9.96,27.13,8.76
1175,7.3,45.61,13.47,8.34,15.01,42.85,58.67,12.1,6.49,90.88,1180.01,98.5,35.5,88.12,26.53,15.35,10.05,27.0,8.63
1176,7.25,45.77,13.9,8.55,15.07,43.57,58.7,12.19,6.57,92.5,1185.0,94.65,36.6,90.04,26.83,15.59,10.29,26.92,8.74
1177,7.29,46.49,14.09,8.65,15.17,43.43,63.78,12.37,6.57,92.2,1199.59,95.66,37.18,90.29,26.86,15.78,10.17,26.75,8.82
1178,7.27,46.72,14.13,8.7,15.09,43.95,64.45,12.38,6.63,91.3,1199.0,99.1,37.66,90.06,26.88,15.9,10.24,26.9,8.78
1179,7.32,46.71,13.87,8.71,16.6,44.31,64.08,12.25,6.69,91.19,1193.0,94.79,38.15,90.0,26.65,15.62,10.27,27.05,8.52
1180,7.25,46.45,14.1,8.65,16.15,44.68,63.5,12.36,7.03,90.58,1201.37,95.68,38.16,89.77,26.57,15.32,10.15,29.26,8.56
1181,7.26,46.46,14.09,8.65,15.91,44.88,63.71,12.33,6.88,91.3,1205.0,93.02,37.75,89.17,26.74,16.0,10.05,29.22,8.48
1182,7.3,45.89,13.9,8.62,15.61,43.95,63.61,11.88,6.82,88.88,1199.0,93.88,37.31,88.21,26.38,15.58,9.9,28.41,8.17
