trddy,mkt_rf,smb,hml,umd,rmw,cma,rf,smb_equal,hml_equal,umd_equal,rmw_equal,cma_equal
1994-05-20,-0.002160453,0.0025067918,0.0103993856,0.0119874785,-0.012076635,-0.007360341,0.000285,0.0052228519,0.0087803583,0.0115381333,-0.007031558,-0.000410667
1994-05-23,-0.015262965,0.0024082095,-0.002526425,0.0130725684,-0.000609202,-0.010597638,0.000285,0.0000303898,-0.003513953,0.010053575,0.0041036818,-0.003828583
1994-05-24,0.0067430665,-0.001402027,-0.007530735,0.0014572496,-0.001603299,0.0095295059,0.000285,-0.004795783,-0.00663685,-0.002194712,0.0023411193,0.0068533333
1994-05-25,-0.017272922,0.0221213707,0.0294782928,0.0160010101,-0.014604858,-0.036787483,0.000285,0.0210992009,0.0244491389,0.0115998375,-0.010550591,-0.017393583
1994-05-26,-0.021819804,0.0044708326,0.0029563922,0.0074221546,-0.015025267,-0.015070715,0.000285,0.0017514463,0.0012544194,0.00505115,-0.011813636,-0.008737583
1994-05-27,-0.00850247,-0.001428445,0.0022764199,0.0036936309,-0.000323623,-0.002090437,0.000285,-0.004515386,0.0038731583,-0.000758188,0.0011905511,-0.0005915
1994-05-30,-0.052116251,0.0035646634,0.0034903828,0.0097036395,0.0000343476,-0.00430228,0.000285,0.0035824009,0.0047957889,0.004818675,0.0036011648,0.00371275
1994-05-31,0.0161008646,0.0097863228,0.0107692746,-0.002167393,0.0013871148,-0.000822737,0.000285,0.0117376583,0.0110116125,0.0058317333,-0.001295838,-0.000528667
1994-06-01,-0.028782042,0.00700007,0.0126511092,0.0212998032,-0.018912221,-0.011247604,0.000285,0.0052362045,0.0139185068,0.0159964841,-0.010985764,-0.000668917
1994-06-02,0.0022657156,0.0101888611,0.0115971791,0.0105565281,0.0005498162,0.0018179286,0.000285,0.0097125872,0.0062127864,0.009995754,0.004519851,0.0055960833
1994-06-03,0.0019643823,0.0108050904,0.0077028161,0.0110932735,-0.010775018,-0.007601275,0.000285,0.0070006594,0.006299628,0.0051098487,-0.008587625,-0.004961
1994-06-06,-0.015800421,0.0076481155,0.0075663663,0.0051793301,-0.008706059,0.007818748,0.000285,0.0015473423,0.0103951523,0.010589746,-0.008411663,0.0100376667
1994-06-07,-0.013896375,-0.010261244,-0.002456011,0.0040591048,0.0091313411,0.0207514399,0.000285,-0.0132415,-0.00182435,0.0063495556,0.0139819808,0.0124051667
1994-06-08,0.0150237914,0.0040402054,0.0071039808,0.0326371345,-0.006258886,-0.01094597,0.000285,0.0037143475,0.0021072545,0.0317483413,-0.000234885,-0.003472333
1994-06-09,-0.022710886,-0.019958771,-0.012018091,-0.035097993,0.019371086,0.0199858569,0.000285,-0.017252438,-0.010481645,-0.026434341,0.0069699712,0.00872375
1994-06-10,-0.01263341,-0.006115594,0.0003385674,0.0087809169,0.0012533443,-0.013140767,0.000285,-0.006070972,-0.000808186,0.0069498413,0.0029010096,-0.0152665
1994-06-13,-0.040023514,-0.012145598,0.0098562323,0.0112792265,-0.00241877,-0.015713346,0.000285,-0.00861739,0.0083809591,0.0093595079,0.0005980673,-0.017470917
1994-06-14,-0.008276165,0.0106084715,0.0116655484,0.0172755183,-0.019348414,0.0019520086,0.000285,0.0069505936,0.0099405682,0.0174376111,-0.010610048,0.0079759167
1994-06-15,0.0097621723,-0.007212605,0.0033569936,-0.02026775,0.0132713395,0.0028581496,0.000285,-0.004280421,0.0007659682,-0.014883603,0.0084763413,0.00623
1994-06-16,0.0278194134,-0.009379076,-0.010448456,-0.014291948,0.0139728046,0.0122194938,0.000285,-0.006641442,-0.00752703,-0.011476389,0.0096869231,0.0036634167
1994-06-17,0.0404339997,0.004469399,0.0005056579,-0.010847901,-0.008772033,-0.003854065,0.000285,0.0069975462,0.0035181568,-0.007089603,-0.011797903,-0.006152583
1994-06-20,-0.05010579,-0.003018306,0.0055889364,0.013970401,-0.021234656,-0.000500488,0.000285,-0.004232864,0.0084113545,0.0122603413,-0.015047106,-0.000945833
1994-06-21,-0.010570612,0.0046659297,0.0005991974,0.0004905298,0.0051251534,-0.000614751,0.000285,0.0070664697,-0.000569195,0.0044016508,0.0054051058,0.00097725
1994-06-22,0.0152493496,-0.00032615,-0.005034465,-0.002845612,-0.004073809,0.0059717078,0.000285,-0.000900262,-0.003442143,-0.004090889,-0.001972207,0.0027025
1994-06-23,-0.009513086,0.0028355119,-0.001578461,0.0001094662,0.0028435976,0.0047196478,0.000285,-0.000830928,-0.000677709,-0.000107929,0.0032177548,0.0054285
1994-06-24,-0.018197369,-0.000552166,-0.000234988,-0.000906919,0.0101970256,-0.0044552,0.000285,-0.000758633,0.0004311788,-0.000154032,0.0055591897,-0.00467625
1994-06-27,-0.045294301,-0.000203384,-0.00726624,0.0039987688,0.0108738515,0.0054828156,0.000285,0.0001074101,-0.007537968,0.0046236825,0.0104024663,0.00707025
1994-06-28,-0.004862765,0.0076803289,0.0197539461,-0.001286307,-0.011581655,-0.011857507,0.000285,0.0051599025,0.0178377205,0.0025503095,-0.011244462,-0.005521917
1994-06-29,-0.008067483,0.0045611394,-0.004875766,-0.001074346,0.0064163039,0.0062384471,0.000285,0.0041354118,-0.005730455,-0.002339,0.0064870192,0.01024175
1994-06-30,0.0023292447,-0.011708489,-0.012595365,-0.024332399,0.0156090512,0.0125490694,0.000285,-0.007341264,-0.01455047,-0.017692865,0.0106156875,0.0011096667
1994-07-01,-0.027420585,-0.001580079,0.0185453161,-0.011258447,0.0054399932,0.0080570553,0.000285,-0.003720317,0.0205353247,-0.005460662,0.0025163179,0.0000468286
1994-07-04,-0.035848673,0.0046182147,0.0107404346,-0.024778777,0.0019601019,0.0104840621,0.000285,0.0025702498,0.0069031703,-0.014086701,-0.000742435,0.0047048667
1994-07-05,0.0170541204,0.0065970796,0.0086356857,-0.014521049,-0.003731846,0.0090289268,0.000285,0.0050254616,0.005979523,-0.011212452,-0.0013399,0.008041
1994-07-06,-0.029929203,-0.005621457,0.0163812697,-0.018689207,0.0079236817,0.0099023556,0.000285,-0.008385979,0.0142808925,-0.011206105,0.010390825,0.0000780455
1994-07-07,-0.012017993,-0.006525387,0.0107482475,-0.015875443,0.0114459526,0.027958544,0.000285,-0.005056737,0.0112867522,-0.011739127,0.005813775,0.0231309091
1994-07-08,0.0272657582,0.0223472419,0.0249042374,0.021378654,0.0021411067,0.0114135096,0.000285,0.0218476099,0.0203880424,0.0198628478,0.0097451635,0.0133925667
1994-07-11,-0.026892074,-0.022834774,-0.022215732,0.0019306512,-0.009967837,0.00277975,0.000285,-0.014305638,-0.009012821,0.0055661351,-0.009813811,-0.008177892
1994-07-12,-0.00303788,-0.003179622,0.0012350509,0.0008517837,-0.002192534,0.0072879066,0.000285,-0.003114641,0.0011752024,0.001591458,0.0018561418,0.0067722857
1994-07-13,0.0188492985,0.0017191244,-0.007564577,0.0139113172,-0.004794634,-0.004431639,0.000285,0.002248834,-0.006156958,0.0109634666,-0.004508736,0.0012759905
1994-07-14,-0.012324768,-0.004461377,0.0112657361,-0.013276076,0.002959435,-0.002398299,0.000285,-0.003359597,0.0089031443,-0.007791815,0.0073892019,-0.004425386
